,crime,sentenceYears,education,age
184,Robo,3,Primaria,37
185,Chantaje,8,Secundaria,26
186,Drogas,11,Secundaria,35
187,Homicidio,36,Secundaria,0
188,Robo,7,Preparatoria,22
189,Robo,7,Primaria,26
190,Homicidio,18,Primaria,23
191,Homicidio,26,Secundaria,44
192,Robo,15,Secundaria,31
193,Homicidio,25,Secundaria,35
194,Violencia Familiar,15,Secundaria,26
195,Robo,11,Secundaria,39
196,Narcomenudeo,3,Preparatoria,42
197,Homicidio,,Secundaria,24
198,,,,0
199,Homicidio,28,Primaria,33
200,Robo,4,Secundaria,21
201,Violacion,17,Secundaria,35
202,Contra la salud,5,Secundaria,50
203,Robo,,Preparatoria,24
204,Robo,4,Primaria,32
205,Homicidio,,Secundaria,27
206,Robo,17,Secundaria,0
207,Violacion,3,Secundaria,35
208,Homicidio,15,Preparatoria,22
209,Robo,,Secundaria,22
210,Violacion,37,Primaria,65
211,Robo,,Secundaria,30
212,Violacion,30,Ningún estudio,65
213,Armas,10,Secundaria,24
214,Violacion,35,Secundaria,51
215,Homicidio,16,,53
216,Homicidio,15,Primaria,69
217,Secuestro,,Ningún estudio,64
218,Contra la salud,11,Primaria trunca,63
219,Fraude,,Secundaria trunca,64
220,Secuestro,60,Secundaria,47
221,Robo,8,Secundaria trunca,37
222,Homicidio,16,Secundaria,31
223,Violacion,30,Secundaria,55
224,Homicidio,15,Secundaria,69
225,Contra la salud,,Primaria trunca,66
226,Violacion,4,Ningún estudio,69
227,,10,Primaria trunca,77
228,Homicidio,25,Licenciatura/profesional,57
229,Violacion,15,Ningún estudio,73
230,Violacion,31,Primaria trunca,71
231,Homicidio,18,Secundaria,56
232,Robo,,Primaria,36
233,Violacion,17,Licenciatura/profesional trunca,69
234,Atentado al pudor,,Secundaria,54
235,Violacion,20,Primaria trunca,67
236,Robo,6,Secundaria,42
237,Robo,3,Secundaria,29
238,Robo,6,Secundaria,28
239,Robo,13,Secundaria,31
240,Armas,15,Secundaria,32
241,Homicidio,,Secundaria,28
242,Violacion,17,Secundaria,42
243,Homicidio,25,Secundaria,38
244,privacion de la libertad,22,Secundaria trunca,50
245,Robo,14,Secundaria,43
246,Robo,7,Secundaria,33
247,Homicidio,33,Licenciatura/profesional,56
248,Armas,6,Secundaria,39
249,Contra la salud,8,Secundaria,28
250,Robo,5,Secundaria,43
251,Homicidio,25,Secundaria,32
252,Secuestro,6,Secundaria,29
253,Robo,26,Preparatoria trunca,28
254,Homicidio,25,Primaria,49
255,Homicidio,25,Primaria,43
256,Armas,,Secundaria,21
257,Homicidio,25,Primaria trunca,36
258,Violacion,29,Primaria,40
259,Fraude,,Secundaria trunca,39
260,Robo,,Secundaria,26
261,Secuestro,,Secundaria,44
262,Homicidio,27,Secundaria,38
263,Robo,5,Primaria,27
264,Robo,2,Comercial,28
265,Robo,,Preparatoria,45
266,Homicidio,26,Secundaria,31
267,Homicidio,25,Secundaria,35
268,,8,Primaria,43
269,Contra la salud,10,Secundaria,42
270,Homicidio,15,Secundaria,44
271,Armas,8,Secundaria,34
272,privacion de la libertad,,Secundaria,38
273,Robo,6,Secundaria trunca,27
274,Contra la salud,5,Preparatoria,29
275,Robo,4,Secundaria,43
276,Violacion,30,Secundaria,38
277,Armas,9,Secundaria,30
278,Robo,8,Ningún estudio,26
279,Robo,7,Primaria,30
280,Homicidio,25,Secundaria,51
281,Homicidio,15,Preparatoria,36
282,Armas,7,Preparatoria,42
283,Drogas,,Ningún estudio,45
284,Robo,,Preparatoria,22
285,Homicidio,25,Preparatoria,27
286,Secuestro,60,Primaria,0
287,Robo,5,Secundaria,37
288,Robo,15,Preparatoria,27
289,Armas,26,Primaria,26
290,Robo,6,Secundaria,31
291,Homicidio,30,Preparatoria trunca,36
292,Robo,,Primaria,22
293,Homicidio,15,Primaria,36
294,Robo,7,Secundaria,32
295,Armas,6,Ningún estudio,26
296,Violacion,16,Ningún estudio,0
297,Homicidio,15,Primaria,22
298,Robo,3,Primaria,36
299,Homicidio,25,Secundaria,50
300,Violacion,6,Primaria,32
301,Homicidio,,Primaria,20
302,Robo,8,Secundaria,37
303,contra la salud,11,Licenciatura/profesional,33
304,Robo,3,Primaria,21
305,Robo,28,Primaria,28
306,Homicidio,,Secundaria,42
307,Drogas,,Secundaria,33
308,Robo,18,Primaria,40
309,Violacion,37,Primaria,57
310,Robo,,Preparatoria,29
311,delicuencia organizada,10,Secundaria,40
312,Contra la salud,,Secundaria,30
313,Chantaje,12,Secundaria,35
314,Secuestro,80,Secundaria,22
315,Robo,,Preparatoria trunca,29
316,Contra la salud,5,Preparatoria,28
317,Secuestro,,Preparatoria,28
318,Homicidio,,Secundaria,50
